school_name,lat,lon
Ainslie School,-35.2733784,149.1395941
Alfred Deakin High School,-35.3236261,149.0953221
Amaroo School,-35.1642097,149.1284155
Aranda Primary School,-35.2555108,149.079347
Arawang Primary School,-35.3541321,149.0591153
Belconnen High School,-35.2458649,149.039012
Black Mountain School,-35.2648595,149.1130609
Blue Gum Community School,-35.2503789,149.162624
Bonython Primary School,-35.4313284,149.0833259
Brindabella Christian College,-35.2491737,149.1284512
Burgmann Anglican School,-35.188545,149.1251478
Calwell High School,-35.4396021,149.1172107
Calwell Primary School,-35.438967,149.1089548
Campbell High School,-35.277704,149.1468083
Campbell Primary School,-35.2899448,149.1565619
Canberra Christian School,-35.3567097,149.0980625
Canberra Girls Grammar School,-35.3169952,149.1147486
Canberra Grammar School,-35.3311188,149.125825
Canberra High School,-35.2509941,149.0727329
Canberra Montessori School,-35.3320825,149.0513362
Caroline Chisholm School,-35.4176527,149.120747
Chapman Primary School,-35.3562564,149.0430999
Charles Conder Primary School,-35.4643205,149.0988133
Charles Weston School,-35.320258,149.0417565
Charnwood-Dunlop School,-35.1994099,149.035911
Communities@Work Galilee School,-35.3302742,149.0503805
Covenant Christian School,-35.4399234,149.0905671
Cranleigh School,-35.2248673,149.0284397
Curtin Primary School,-35.3307799,149.0798486
Daramalan College,-35.2526938,149.1372528
Dickson College,-35.2488795,149.1532008
Duffy Primary School,-35.3347976,149.0331898
Emmaus Christian School,-35.2537973,149.143209
Erindale College,-35.4030531,149.0965196
Evatt Primary School,-35.2068775,149.0755915
Evelyn Scott School,-35.3067206,149.0283676
Fadden Primary School,-35.403659,149.1183143
Farrer Primary School,-35.3777444,149.1066382
Florey Primary School,-35.2259426,149.0526301
Forrest Primary School,-35.3145179,149.125774
Franklin School,-35.2126852,149.0667481
Fraser Primary School,-35.1919008,149.0428351
Garran Primary School,-35.3446898,149.1034969
Gilmore Primary School,-35.4183872,149.134826
Giralang Primary School,-35.2144609,149.0949281
Gold Creek School,-35.1791097,149.0943489
Good Shepherd Primary School,-35.1655051,149.1247114
Gordon Primary School,-35.4564821,149.0870421
Gowrie Primary School,-35.4127231,149.1109845
Gungahlin College,-35.1854567,149.1298903
Harrison School,-35.1997581,149.1522533
Hawker College,-35.2456822,149.0331739
Hawker Primary School,-35.2497769,149.0349167
Holy Family Primary School,-35.4099353,149.1162693
Holy Spirit Primary School,-35.1799324,149.1012881
Holy Trinity Primary School,-35.3279725,149.0812165
Hughes Primary School,-35.3317622,149.0926722
Isabella Plains Early Childhood School,-35.4284018,149.089404
Islamic School of Canberra,-35.3292187,149.0598864
Kaleen Primary School,-35.2242371,149.1132073
Kingsford Smith School,-35.2266149,149.0212322
Lake Tuggeranong College,-35.4132354,149.0683078
Lanyon High School,-35.4609734,149.0961401
Latham Primary School,-35.2195001,149.0341846
Lyneham High School,-35.25214,149.1295787
Lyneham Primary School,-35.251584,149.1260377
Macgregor Primary School,-35.2126289,149.0126161
Macquarie Primary School,-35.250396,149.0597283
Majura Primary School,-35.2381569,149.155136
Malkara School,-35.3379922,149.0943896
Margaret Hendry School,-35.1518889,149.1123996
Maribyrnong Primary School,-35.2351245,149.1034846
Marist College Canberra,-35.3590308,149.0895946
Mawson Primary School,-35.3580051,149.0980275
Melba Copland Secondary School,-35.2144791,149.050198
Melrose High School,-35.3631847,149.0902177
Merici College,-35.2675872,149.1374663
Miles Franklin Primary School,-35.2126852,149.0667481
Monash Primary School,-35.4142482,149.0898164
Mother Teresa School,-35.1952773,149.1536637
Mount Rogers Primary School,-35.2063765,149.0443373
Mount Stromlo High School,-35.3535981,149.0530129
Namadgi School,-35.3918068,149.0669386
Narrabundah College,-35.336872,149.1473695
Narrabundah Early Childhood School,-35.3287879,149.1507301
Neville Bonner Primary School,-35.1619029,149.1406609
Ngunnawal Primary School,-35.1688075,149.1109552
North Ainslie Primary School,-35.2547957,149.1471574
O'Connor Cooperative School,-35.2610555,149.1201815
Orana Steiner School,-35.3262508,149.0587611
Radford College,-35.2446634,149.0880911
Red Hill Primary School,-35.3389169,149.1332164
Richardson Primary School,-35.4291076,149.1149011
Rosary Primary School,-35.2446518,149.1552065
Sacred Heart Primary School,-35.3665895,149.0837087
Shirley Smith High School,-35.2103484,149.1537258
Southern Cross Early Childhood School,-35.2324593,149.0386814
St Anthony's Parish Primary School,-35.3931868,149.0802723
St Bede's Primary School,-35.339045,149.1283334
St Benedict's Primary School,-35.3351414,149.1491581
St Clare of Assisi Primary School,-35.4585444,149.0969777
St Edmund's College Canberra,-35.3233513,149.1441998
St Francis of Assisi Primary School,-35.4417029,149.1185941
St Francis Xavier College,-35.2236597,149.0405906
St John Paul II College,-35.1773339,149.1018023
St John the Apostle Primary School,-35.2263833,149.0421663
St John Vianney's Primary School,-35.3516695,149.0555611
St Jude's Primary School,-35.3344572,149.0507273
St Mary MacKillop College,-35.4052434,149.0910134
St Matthew's Primary School,-35.2405689,149.0428641
St Monica's Primary School,-35.2129374,149.0618402
Sts Peter & Paul Primary School,-35.3397315,149.0938387
St Thomas Aquinas Primary School,-35.2052552,149.0298827
St Thomas More's Primary School,-35.2872426,149.1564409
St Thomas The Apostle Primary School,-35.3811456,149.0531244
St Vincent's Primary School,-35.2544308,149.0768771
Taqwa School,-35.1986285,149.0653097
Taylor Primary School,-35.3786285,149.063894
Telopea Park School,-35.3145602,149.1350441
Theodore Primary School,-35.4470455,149.1233336
Throsby School,-35.1922863,149.1656004
Torrens Primary School,-35.370791,149.0905357
Trinity Christian School,-35.4085629,149.0861943
Turner School,-35.2646881,149.1259577
University of Canberra Senior Secondary College Lake Ginninderra,-35.2391543,149.0745908
Wanniassa Hills Primary School,-35.3933221,149.0955777
Wanniassa School,-35.4044957,149.0908862
Weetangera Primary School,-35.2512712,149.047527
Yarralumla Primary School,-35.3066471,149.1022978
The Canberra College,-35.3395993,149.0889934
The Woden School,-35.3261671,149.092954
